"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:14","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:15","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:16","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:17","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:18","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:19","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:19","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:19","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:19","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:19","controler","stop thread (51) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
"ERROR","web-0","07/17/2009","05:19","controler","stop thread (45) because run into a timeout path: /srv/www/stats.hpdp.org.au/wwwroot/backup.cfm. no open locks"
